GeneID	Symbol	Description	log2(fold change)(Control vs DCM)	-log10(Pvalue)(Control vs DCM)
272	AMPD3	adenosine monophosphate deaminase 3	0.391	1.837
10894	LYVE1	lymphatic vessel endothelial hyaluronan receptor 1	0.982	3.403
9646	CTR9	CTR9 homolog, Paf1/RNA polymerase II complex component	0.134	1.467
729013	ZBED5-AS1	ZBED5 antisense RNA 1	0.297	1.68
374378	GALNT18	polypeptide N-acetylgalactosaminyltransferase 18	-0.273	1.411
283106	CSNK2A3	casein kinase 2 alpha 3	0.259	4.296
55031	USP47	ubiquitin specific peptidase 47	0.314	4.437
9645	MICAL2	microtubule associated monooxygenase, calponin and LIM domain containing 2	-0.471	4.542
55742	PARVA	parvin alpha	0.258	2.451
7003	TEAD1	TEA domain transcription factor 1	0.536	5.862
406	BMAL1	basic helix-loop-helix ARNT like 1	0.566	1.442
22800	RRAS2	RAS related 2	-0.994	4.222
55553	SOX6	SRY-box transcription factor 6	-0.407	4.098
4925	NUCB2	nucleobindin 2	0.348	3.895
374383	NCR3LG1	natural killer cell cytotoxicity receptor 3 ligand 1	-0.685	3.676
107984316	LOC107984316	replaced by ID 374383	-0.899	5.146
3767	KCNJ11	potassium inwardly rectifying channel subfamily J member 11	0.583	2.629
6288	SAA1	serum amyloid A1	3.654	4.943
11234	HPS5	HPS5 biogenesis of lysosomal organelles complex 2 subunit 2	-0.185	1.862
3939	LDHA	lactate dehydrogenase A	0.805	5.647
55293	UEVLD	UEV and lactate/malate dehyrogenase domains	0.415	6.987
8048	CSRP3	cysteine and glycine rich protein 3	-0.541	2.454
105376580	CSRP3-AS1	CSRP3 and E2F8 antisense RNA 1	-0.762	2.794
79733	E2F8	E2F transcription factor 8	0.513	1.625
89797	NAV2	neuron navigator 2	-0.513	4.244
100126784	NAV2-AS6	NAV2 antisense RNA 6	-1.07	8.55
10553	HTATIP2	HIV-1 Tat interactive protein 2	0.915	8.539
10196	PRMT3	protein arginine methyltransferase 3	0.424	3.95
203859	ANO5	anoctamin 5	0.345	2.001
387758	FIBIN	fin bud initiation factor homolog	-0.837	3.063
91057	CCDC34	coiled-coil domain containing 34	0.647	2.974
55366	LGR4	leucine rich repeat containing G protein-coupled receptor 4	0.745	5.193
55327	LIN7C	lin-7 homolog C, crumbs cell polarity complex component	-0.295	1.402
497258	BDNF-AS	BDNF antisense RNA	-0.437	1.807
106456574	LINC01616	long intergenic non-protein coding RNA 1616	-1.691	8.57
3739	KCNA4	potassium voltage-gated channel subfamily A member 4	-0.969	5.143
196294	IMMP1L	inner mitochondrial membrane peptidase subunit 1	0.269	2.378
26610	ELP4	elongator acetyltransferase complex subunit 4	0.19	2.118
5954	RCN1	reticulocalbin 1	0.558	5.671
10480	EIF3M	eukaryotic translation initiation factor 3 subunit M	0.319	6.725
493860	CCDC73	coiled-coil domain containing 73	0.522	6.369
105376615	LOC105376615	uncharacterized LOC105376615	0.74	3.33
966	CD59	CD59 molecule (CD59 blood group)	0.488	8.863
101929918	LOC101929918	uncharacterized LOC101929918	-0.486	1.602
25841	ABTB2	ankyrin repeat and BTB domain containing 2	-0.692	3.054
102723539	LOC102723539		-0.455	2.288
26298	EHF	ETS homologous factor	1.467	4.041
24147	FJX1	four-jointed box kinase 1	-0.652	1.828
29099	COMMD9	COMM domain containing 9	0.237	2.404
79899	PRR5L	proline rich 5 like	-0.621	1.513
119710	IFTAP	intraflagellar transport associated protein	0.396	4.379
8539	API5	apoptosis inhibitor 5	0.123	1.848
55761	TTC17	tetratricopeptide repeat domain 17	0.14	2.015
107984328	LOC107984328	uncharacterized LOC107984328	0.355	1.776
221120	ALKBH3	alkB homolog 3, alpha-ketoglutarate dependent dioxygenase	0.686	12.555
84680	ACCS	1-aminocyclopropane-1-carboxylate synthase homolog (inactive)	-0.451	2.285
2132	EXT2	exostosin glycosyltransferase 2	-0.145	1.708
57586	SYT13	synaptotagmin 13	1.018	2.663
8534	CHST1	carbohydrate sulfotransferase 1	0.421	1.618
1408	CRY2	cryptochrome circadian regulator 2	-0.415	3.874
9409	PEX16	peroxisomal biogenesis factor 16	-0.408	3.958
90993	CREB3L1	cAMP responsive element binding protein 3 like 1	0.56	3.491
4192	MDK	midkine	-1.387	10.876
55626	AMBRA1	autophagy and beclin 1 regulator 1	-0.247	5.202
9776	ATG13	autophagy related 13	-0.187	1.851
392	ARHGAP1	Rho GTPase activating protein 1	-0.753	10.58
79797	ZNF408	zinc finger protein 408	-0.502	6.492
9793	CKAP5	cytoskeleton associated protein 5	0.326	6.971
100507401	LRP4-AS1	LRP4 antisense RNA 1	0.56	3.16
4038	LRP4	LDL receptor related protein 4	0.532	4.984
79096	CSTPP1	centriolar satellite-associated tubulin polyglutamylase complex regulator 1	-0.305	4.44
107984329	LOC107984329		-0.824	5.881
1643	DDB2	damage specific DNA binding protein 2	0.257	1.516
10062	NR1H3	nuclear receptor subfamily 1 group H member 3	0.321	1.61
8567	MADD	MAP kinase activating death domain	0.295	1.878
91252	SLC39A13	solute carrier family 39 member 13	-0.257	2.455
5702	PSMC3	proteasome 26S subunit, ATPase 3	0.208	1.605
399888	FAM180B	family with sequence similarity 180 member B	-2.75	6.391
114900	C1QTNF4	C1q and TNF related 4	-0.814	2.847
23360	FNBP4	formin binding protein 4	0.532	4.981
85456	TNKS1BP1	tankyrase 1 binding protein 1	-0.25	2.272
6749	SSRP1	structure specific recognition protein 1	0.169	1.575
51075	TMX2	thioredoxin related transmembrane protein 2	0.152	1.458
9404	LPXN	leupaxin	-0.281	2.259
80829	ZFP91	ZFP91 zinc finger protein, atypical E3 ubiquitin ligase	0.274	4.069
386607	ZFP91-CNTF	ZFP91-CNTF readthrough (NMD candidate)	0.458	4.948
23220	DTX4	deltex E3 ubiquitin ligase 4	-0.767	3.703
5007	OSBP	oxysterol binding protein	0.166	2.646
219988	PATL1	PAT1 homolog 1, processing body mRNA decay factor	0.176	2.833
11251	PTGDR2	prostaglandin D2 receptor 2	-0.739	2.079
79073	TMEM109	transmembrane protein 109	-0.185	3.506
54972	TMEM132A	transmembrane protein 132A	-0.348	1.674
923	CD6	CD6 molecule	-1.378	4.486
921	CD5	CD5 molecule	-0.764	1.547
220001	VWCE	von Willebrand factor C and EGF domains	-0.465	1.467
26007	TKFC	triokinase and FMN cyclase	-0.511	8.87
79869	CPSF7	cleavage and polyadenylation specific factor 7	-0.227	2.917
54949	SDHAF2	succinate dehydrogenase complex assembly factor 2	0.421	4.96
220004	PPP1R32	protein phosphatase 1 regulatory subunit 32	-0.264	1.438
9066	SYT7	synaptotagmin 7	0.621	2.739
113157	RPLP0P2	ribosomal protein lateral stalk subunit P0 pseudogene 2	-0.497	2.316
3992	FADS1	fatty acid desaturase 1	0.327	2.37
3995	FADS3	fatty acid desaturase 3	0.27	1.415
7439	BEST1	bestrophin 1	0.82	6.406
107984334	LOC107984334	uncharacterized LOC107984334	-0.894	4.786
2495	FTH1	ferritin heavy chain 1	0.785	5.714
10647	SCGB1D2	secretoglobin family 1D member 2	1.381	2.063
64852	TUT1	terminal uridylyl transferase 1, U6 snRNA-specific	-0.334	4.861
256364	EML3	EMAP like 3	-0.272	2.381
26229	B3GAT3	beta-1,3-glucuronyltransferase 3	-0.268	2.454
80789	INTS5	integrator complex subunit 5	-0.376	4.716
79081	LBHD1	LBH domain containing 1	0.454	5.55
102288414	C11orf98	chromosome 11 open reading frame 98	0.542	6.384
751071	CSKMT	citrate synthase lysine methyltransferase	-0.353	1.471
790955	UQCC3	ubiquinol-cytochrome c reductase complex assembly factor 3	0.292	2.165
51035	UBXN1	UBX domain protein 1	0.245	2.346
221091	LRRN4CL	LRRN4 C-terminal like	-0.724	2.991
100534595	HNRNPUL2-BSCL2	HNRNPUL2-BSCL2 readthrough (NMD candidate)	0.208	3.938
2785	GNG3	G protein subunit gamma 3	-0.467	1.601
221092	HNRNPUL2	heterogeneous nuclear ribonucleoprotein U like 2	0.172	2.263
374395	TMEM179B	transmembrane protein 179B	0.152	1.568
79064	TMEM223	transmembrane protein 223	0.452	4.897
54663	WDR74	WD repeat domain 74	0.205	2.35
9297	SNORD29	small nucleolar RNA, C/D box 29	0.614	2.073
6520	SLC3A2	solute carrier family 3 member 2	-0.323	2.268
117245	PLAAT5	phospholipase A and acyltransferase 5	0.812	1.673
11145	PLAAT3	phospholipase A and acyltransferase 3	0.381	3.578
25923	ATL3	atlastin GTPase 3	-0.325	2.573
2011	MARK2	microtubule affinity regulating kinase 2	0.258	3.822
283248	RCOR2	REST corepressor 2	0.473	1.769
55611	OTUB1	OTU deubiquitinase, ubiquitin aldehyde binding 1	-0.119	1.384
101927673	LOC101927673		-0.463	2.537
10963	STIP1	stress induced phosphoprotein 1	0.294	2.372
2286	FKBP2	FKBP prolyl isomerase 2	0.608	7.583
114841035	LOC114841035	Uncharacterized protein LOC114841035	0.578	7.26
26472	PPP1R14B	protein phosphatase 1 regulatory inhibitor subunit 14B	0.857	7.27
105369340	PPP1R14B-AS1	PPP1R14B antisense RNA 1	0.858	2.315
51504	TRMT112	tRNA methyltransferase activator subunit 11-2	0.237	1.917
25824	PRDX5	peroxiredoxin 5	0.227	1.645
283234	CCDC88B	coiled-coil domain containing 88B	0.318	2.116
9379	NRXN2	neurexin 2	-1.599	6.528
5837	PYGM	glycogen phosphorylase, muscle associated	0.706	3.902
7536	SF1	splicing factor 1	-0.398	11.972
4221	MEN1	menin 1	0.147	1.333
23130	ATG2A	autophagy related 2A	-0.211	1.622
100528018	ARL2-SNX15	ARL2-SNX15 readthrough (NMD candidate)	0.204	2.2
29907	SNX15	sorting nexin 15	0.217	1.743
29901	SAC3D1	SAC3 domain containing 1	0.409	2.799
113130	CDCA5	cell division cycle associated 5	0.694	2.81
738	VPS51	VPS51 subunit of GARP complex	-0.382	6.179
741	ZNHIT2	zinc finger HIT-type containing 2	-0.308	1.453
2197	FAU	FAU ubiquitin like and ribosomal protein S30 fusion	-0.21	1.824
728975	CAPN1-AS1	CAPN1 antisense RNA 1	0.993	7.78
23649	POLA2	DNA polymerase alpha 2, accessory subunit	0.367	4.361
105369344	LOC105369344	uncharacterized LOC105369344	0.477	1.689
283130	SLC25A45	solute carrier family 25 member 45	-0.768	7.961
83786	FRMD8	FERM domain containing 8	-0.599	5.215
101927789	FAUP4	FAU pseudogene 4	0.415	1.41
378938	MALAT1	metastasis associated lung adenocarcinoma transcript 1	0.678	3.174
109136579	TALAM1	TALAM1 transcript, MALAT1 antisense RNA	0.66	3.09
109136578	MASCRNA	MALAT1-associated small cytoplasmic RNA	-1.049	3.172
57410	SCYL1	SCY1 like pseudokinase 1	0.164	1.757
4054	LTBP3	latent transforming growth factor beta binding protein 3	-0.914	13.589
23625	FAM89B	family with sequence similarity 89 member B	0.279	2.774
10089	KCNK7	potassium two pore domain channel subfamily K member 7	-0.736	1.885
4296	MAP3K11	mitogen-activated protein kinase kinase kinase 11	-0.299	4.243
399909	PCNX3	pecanex 3	-0.15	1.734
5970	RELA	RELA proto-oncogene, NF-kB subunit	-0.175	2.214
254122	SNX32	sorting nexin 32	0.189	1.639
1072	CFL1	cofilin 1	0.221	2.473
30008	EFEMP2	EGF containing fibulin extracellular matrix protein 2	-0.347	6.439
11007	CCDC85B	coiled-coil domain containing 85B	-0.568	3.457
83638	C11orf68	chromosome 11 open reading frame 68	-0.273	3.429
10589	DRAP1	DR1 associated protein 1	0.52	8.523
55690	PACS1	phosphofurin acidic cluster sorting protein 1	-0.361	1.744
64837	KLC2	kinesin light chain 2	0.372	3.956
105369352	KLC2-AS1	KLC2 antisense RNA 1	0.279	2.747
107984340	LOC107984340	uncharacterized LOC107984340	0.566	7.454
10897	YIF1A	Yip1 interacting factor homolog A, membrane trafficking protein	-0.261	1.93
9610	RIN1	Ras and Rab interactor 1	-0.507	2.863
25855	BRMS1	BRMS1 transcriptional repressor and anoikis regulator	0.268	1.757
3177	SLC29A2	solute carrier family 29 member 2	0.453	3.292
65003	MRPL11	mitochondrial ribosomal protein L11	0.274	2.509
246330	PELI3	pellino E3 ubiquitin protein ligase family member 3	0.264	1.393
10072	DPP3	dipeptidyl peptidase 3	0.443	3.31
582	BBS1	Bardet-Biedl syndrome 1	-0.256	3.359
254359	ZDHHC24	zinc finger DHHC-type containing 24	-0.302	4.383
55231	CCDC87	coiled-coil domain containing 87	-0.584	1.316
10432	RBM14	RNA binding motif protein 14	-0.429	5.198
83759	RBM4B	RNA binding motif protein 4B	0.168	1.577
6712	SPTBN2	spectrin beta, non-erythrocytic 2	-0.564	2.133
79703	C11orf80	chromosome 11 open reading frame 80	-0.958	3.571
9986	RCE1	Ras converting CAAX endopeptidase 1	-0.444	4.457
91683	SYT12	synaptotagmin 12	-1.104	1.445
29984	RHOD	ras homolog family member D	0.644	3.294
100130987	LOC100130987	uncharacterized LOC100130987	-0.596	1.85
5883	RAD9A	RAD9 checkpoint clamp component A	-0.201	1.834
5499	PPP1CA	protein phosphatase 1 catalytic subunit alpha	0.184	1.6
374403	TBC1D10C	TBC1 domain family member 10C	-0.941	4.538
57571	CARNS1	carnosine synthase 1	-0.88	5.086
6199	RPS6KB2	ribosomal protein S6 kinase B2	0.216	2.567
57010	CABP4	calcium binding protein 4	0.656	3.084
9049	AIP	aryl hydrocarbon receptor interacting protein	0.175	1.42
9600	PITPNM1	phosphatidylinositol transfer protein membrane associated 1	0.255	1.915
10263	CDK2AP2	cyclin dependent kinase 2 associated protein 2	0.402	1.645
390213	DOC2GP	double C2 domain gamma, pseudogene	0.824	2.321
105369360	LINC02754	long intergenic non-protein coding RNA 2754	-1.296	3.997
81622	UNC93B1	unc-93 homolog B1, TLR signaling regulator	-0.579	2.779
221	ALDH3B1	aldehyde dehydrogenase 3 family member B1	-0.348	2.1
10312	TCIRG1	T cell immune regulator 1, ATPase H+ transporting V0 subunit a3	-0.269	2.655
4041	LRP5	LDL receptor related protein 5	-0.27	2.565
55291	PPP6R3	protein phosphatase 6 regulatory subunit 3	0.213	4.665
9633	TESMIN	testis expressed metallothionein like protein	0.59	1.558
219927	MRPL21	mitochondrial ribosomal protein L21	0.262	1.341
116535	MRGPRF	MAS related GPR family member F	0.442	1.444
219931	TPCN2	two pore segment channel 2	-0.241	1.665
107984345	SMIM38	small integral membrane protein 38	-0.523	1.339
595	CCND1	cyclin D1	-0.622	5.446
55107	ANO1	anoctamin 1	-0.488	2.157
8500	PPFIA1	PTPRF interacting protein alpha 1	0.273	3.517
1717	DHCR7	7-dehydrocholesterol reductase	0.239	1.368
285407	ALG1L9P	ALG1 like 9, pseudogene	-0.465	1.41
100133315	XNDC1N	XRCC1 N-terminal domain containing 1, N-terminal like	-0.621	2.707
100128494	LOC100128494	uncharacterized LOC100128494	0.192	1.331
3636	INPPL1	inositol polyphosphate phosphatase like 1	0.287	4.667
81570	CLPB	caseinolytic mitochondrial matrix peptidase chaperone subunit B	0.138	1.351
10809	STARD10	StAR related lipid transfer domain containing 10	0.624	5.434
105369380	LOC105369380		-0.479	1.432
89849	ATG16L2	autophagy related 16 like 2	-0.289	2.182
5029	P2RY2	purinergic receptor P2Y2	0.403	2.718
100287837	ARHGEF17-AS1	ARHGEF17 antisense RNA 1	-0.532	1.842
58473	PLEKHB1	pleckstrin homology domain containing B1	-0.43	1.55
51642	MRPL48	mitochondrial ribosomal protein L48	0.563	5.069
51287	COA4	cytochrome c oxidase assembly factor 4 homolog	0.438	7.469
80227	PAAF1	proteasomal ATPase associated factor 1	-0.258	2.633
51400	PPME1	protein phosphatase methylesterase 1	-0.193	3.242
254225	RNF169	ring finger protein 169	0.202	1.916
10825	NEU3	neuraminidase 3	-0.437	3.853
11309	SLCO2B1	solute carrier organic anion transporter family member 2B1	-0.72	3.025
105369388	LOC105369388	uncharacterized LOC105369388	-0.427	1.366
283212	KLHL35	kelch like family member 35	-1.064	3.693
4135	MAP6	microtubule associated protein 6	-0.361	2.542
84649	DGAT2	diacylglycerol O-acyltransferase 2	0.597	2.174
7405	UVRAG	UV radiation resistance associated	0.161	2.254
5612	THAP12	THAP domain containing 12	-0.183	1.782
726	CAPN5	calpain 5	-0.488	1.6
5058	PAK1	p21 (RAC1) activated kinase 1	-0.658	2.745
100532726	NDUFC2-KCTD14	NDUFC2-KCTD14 readthrough	0.283	1.665
7069	THRSP	thyroid hormone responsive	2.63	3.543
105369401	LOC105369401	uncharacterized LOC105369401	0.743	2.06
100289388	KCTD21-AS1	KCTD21 antisense RNA 1	0.495	3.394
283219	KCTD21	potassium channel tetramerization domain containing 21	0.457	4.347
9846	GAB2	GRB2 associated binding protein 2	-0.294	1.533
79731	NARS2	asparaginyl-tRNA synthetase 2, mitochondrial	0.304	2.955
26011	TENM4	teneurin transmembrane protein 4	-1.178	5.792
220382	FAM181B	family with sequence similarity 181 member B	-1.424	4.452
100506233	RAB30-DT	RAB30 divergent transcript	0.354	2.084
106736475	PCF11-AS1	PCF11 antisense RNA 1	-0.514	3.963
55863	TMEM126B	transmembrane protein 126B	0.166	2.285
84233	TMEM126A	transmembrane protein 126A	0.327	2.086
220388	CCDC89	coiled-coil domain containing 89	-0.529	2.152
54843	SYTL2	synaptotagmin like 2	-0.775	2.33
11098	PRSS23	serine protease 23	-0.449	1.54
107984429	LOC107984429	uncharacterized LOC107984429	-0.64	2.603
107984428	LOC107984428	uncharacterized LOC107984428	-0.379	1.61
65084	TMEM135	transmembrane protein 135	-0.389	2.609
50507	NOX4	NADPH oxidase 4	-0.899	2.111
26973	CHORDC1	cysteine and histidine rich domain containing 1	0.324	1.953
120114	FAT3	FAT atypical cadherin 3	-1.29	2.27
120103	SLC36A4	solute carrier family 36 member 4	0.513	3.014
56935	SMCO4	single-pass membrane protein with coiled-coil domains 4	0.44	9.051
85459	CEP295	centrosomal protein 295	0.283	3.16
619383	SCARNA9	small Cajal body-specific RNA 9	0.889	2.207
79101	TAF1D	TATA-box binding protein associated factor, RNA polymerase I subunit D	0.255	2.037
684959	SNORA25	small nucleolar RNA, H/ACA box 25	-0.863	2.739
654320	SNORA8	small nucleolar RNA, H/ACA box 8	-0.993	6.751
677822	SNORA40	small nucleolar RNA, H/ACA box 40	0.788	3.75
9440	MED17	mediator complex subunit 17	-0.301	5.17
10888	GPR83	G protein-coupled receptor 83	-0.678	1.712
2526	FUT4	fucosyltransferase 4	-0.521	3.221
105369438	PIWIL4-AS1	PIWIL4 antisense RNA 1	-0.395	1.446
143689	PIWIL4	piwi like RNA-mediated gene silencing 4	-0.779	4.758
154810	AMOTL1	angiomotin like 1	-0.644	5.477
51503	CWC15	CWC15 spliceosome associated protein homolog	0.447	4.177
10929	SRSF8	serine and arginine rich splicing factor 8	-0.218	3.63
143686	SESN3	sestrin 3	-0.588	2.332
9702	CEP57	centrosomal protein 57	0.172	2.062
5241	PGR	progesterone receptor	0.23	1.547
253935	ANGPTL5	angiopoietin like 5	-0.708	1.41
330	BIRC3	baculoviral IAP repeat containing 3	0.78	2.395
329	BIRC2	baculoviral IAP repeat containing 2	0.192	1.972
84259	DCUN1D5	defective in cullin neddylation 1 domain containing 5	0.384	7.743
79659	DYNC2H1	dynein cytoplasmic 2 heavy chain 1	-0.394	2.339
80310	PDGFD	platelet derived growth factor D	-0.651	4.121
837	CASP4	caspase 4	0.274	1.674
440068	CARD17P	caspase recruitment domain family member 17, pseudogene	-1.88	2.882
60496	AASDHPPT	aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase	-0.167	1.343
2977	GUCY1A2	guanylate cyclase 1 soluble subunit alpha 2	0.534	1.915
91801	ALKBH8	alkB homolog 8, tRNA methyltransferase	0.33	4.408
4863	NPAT	nuclear protein, coactivator of histone transcription	0.196	1.346
23086	EXPH5	exophilin 5	1.398	3.086
1662	DDX10	DEAD-box helicase 10	0.237	2.214
5962	RDX	radixin	0.383	4.596
399948	COLCA1	colorectal cancer associated 1	0.852	2.553
120376	POU2AF3	POU class 2 homeobox associating factor 3	0.61	1.699
143903	LAYN	layilin	-0.283	1.414
5519	PPP2R1B	protein phosphatase 2 scaffold subunit Abeta	-0.203	1.53
100528019	HSPB2-C11orf52	HSPB2-C11orf52 readthrough (NMD candidate)	0.408	2.458
91894	C11orf52	chromosome 11 open reading frame 52	0.831	3.204
85458	DIXDC1	DIX domain containing 1	-0.362	1.876
1737	DLAT	dihydrolipoamide S-acetyltransferase	0.367	3.207
55216	NKAPD1	NKAP domain containing 1	0.416	8.288
6392	SDHD	succinate dehydrogenase complex subunit D	-0.21	1.471
3606	IL18	interleukin 18	0.54	1.42
83875	BCO2	beta-carotene oxygenase 2	0.384	1.382
4684	NCAM1	neural cell adhesion molecule 1	0.432	5.548
100288346	NCAM1-AS1	NCAM1 antisense RNA1	0.252	1.332
9183	ZW10	zw10 kinetochore protein	0.151	1.782
57646	USP28	ubiquitin specific peptidase 28	0.247	1.963
101928875	LOC101928875		0.732	1.901
25996	REXO2	RNA exonuclease 2	0.327	4.755
283143	LINC00900	long intergenic non-protein coding RNA 900	-1.137	3.777
335	APOA1	apolipoprotein A1	-2.422	13.549
104326055	APOA1-AS	APOA1 antisense RNA	-2.154	11.098
5049	PAFAH1B2	platelet activating factor acetylhydrolase 1b catalytic subunit 2	-0.208	3.026
51092	SIDT2	SID1 transmembrane family member 2	-0.337	3.705
100652768	LOC100652768	uncharacterized LOC100652768	-0.486	5.944
257160	RNF214	ring finger protein 214	0.184	1.916
22897	CEP164	centrosomal protein 164	-0.222	1.585
57453	DSCAML1	DS cell adhesion molecule like 1	-0.554	1.627
486	FXYD2	FXYD domain containing ion transport regulator 2	0.462	1.37
53826	FXYD6	FXYD domain containing ion transport regulator 6	-0.36	3.112
6327	SCN2B	sodium voltage-gated channel beta subunit 2	-0.607	2.411
196264	MPZL3	myelin protein zero like 3	0.341	1.313
916	CD3E	CD3 epsilon subunit of T-cell receptor complex	-0.749	1.554
100131626	LOC100131626	uncharacterized LOC100131626	0.507	3.179
101929089	TTC36-AS1	TTC36 and KMT2A antisense RNA 1	-0.249	1.67
143941	TTC36	tetratricopeptide repeat domain 36	-0.831	4.067
84866	TMEM25	transmembrane protein 25	0.284	2.873
23187	PHLDB1	pleckstrin homology like domain family B member 1	-0.255	1.859
102466719	MIR6716	microRNA 6716	-0.409	1.921
11181	TREH	trehalase	-0.474	5.196
