GeneID	Symbol	Description	log10baseMean	log2FC
100505812	CARD8-AS1	CARD8 antisense RNA 1	1.811	0.279
2014	EMP3	epithelial membrane protein 3	2.664	0.4
107984140	LOC107984140		1.192	-1.511
770	CA11	carbonic anhydrase 11	2.047	0.702
126147	NTN5	netrin 5	1.022	-1.033
54922	RASIP1	Ras interacting protein 1	2.85	-0.823
2523	FUT1	fucosyltransferase 1 (H blood group)	2.204	-0.73
51171	HSD17B14	hydroxysteroid 17-beta dehydrogenase 14	1.759	-0.685
23645	PPP1R15A	protein phosphatase 1 regulatory subunit 15A	3.541	-0.434
100874085	NUCB1-AS1	NUCB1 antisense RNA 1	2.5	0.238
2512	FTL	ferritin light chain	4.097	0.565
3743	KCNA7	potassium voltage-gated channel subfamily A member 7	1.532	2.287
64130	LIN7B	lin-7 homolog B, crumbs cell polarity complex component	2.327	-0.275
8541	PPFIA3	PTPRF interacting protein alpha 3	2.001	-0.567
54795	TRPM4	transient receptor potential cation channel subfamily M member 4	3.026	-0.548
8463	TEAD2	TEA domain transcription factor 2	3.129	0.665
57030	SLC17A7	solute carrier family 17 member 7	1.839	0.382
6205	RPS11	ribosomal protein S11	4.034	0.205
2217	FCGRT	Fc gamma receptor and transporter	3.179	-0.406
5639	PRRG2	proline rich and Gla domain 2	1.019	0.758
57479	PRR12	proline rich 12	2.875	-0.19
58506	SCAF1	SR-related CTD associated factor 1	3.127	-0.433
3661	IRF3	interferon regulatory factor 3	2.859	-0.229
60385	TSKS	testis specific serine kinase substrate	1.281	-0.557
100506033	PTOV1-AS1	PTOV1 antisense RNA 1	2.309	0.293
101928378	PTOV1-AS2	PTOV1 antisense RNA 2	2.547	-0.185
84335	AKT1S1	AKT1 substrate 1	3.057	0.218
79735	TBC1D17	TBC1 domain family member 17	3.173	-0.298
259307	IL4I1	interleukin 4 induced 1	1.49	0.39
114132	SIGLEC11	sialic acid binding Ig like lectin 11	1.289	0.695
400709	SIGLEC16	sialic acid binding Ig like lectin 16	1.452	0.96
3748	KCNC3	potassium voltage-gated channel subfamily C member 3	2.085	0.291
256236	NAPSB	napsin B aspartic peptidase, pseudogene	1.33	-1.296
284361	EMC10	ER membrane protein complex subunit 10	3.586	-0.459
342918	C19orf81	chromosome 19 open reading frame 81	0.874	-0.956
50944	SHANK1	SH3 and multiple ankyrin repeat domains 1	1.068	-0.833
6320	CLEC11A	C-type lectin domain containing 11A	2.1	-0.93
84798	C19orf48	multidrug resistance-related protein	2.136	-0.398
90353	CTU1	cytosolic thiouridylase subunit 1	1.684	-0.549
27180	SIGLEC9	sialic acid binding Ig like lectin 9	1.507	1.147
27036	SIGLEC7	sialic acid binding Ig like lectin 7	1.119	0.707
945	CD33	CD33 molecule	1.745	0.555
125875	CLDND2	claudin domain containing 2	1.486	-0.522
4818	NKG7	natural killer cell granule protein 7	1.569	-1.345
946	SIGLEC6	sialic acid binding Ig like lectin 6	0.91	-0.861
147650	SPACA6	sperm acrosome associated 6	2.206	0.328
84765	ZNF577	zinc finger protein 577	2.784	0.213
79898	ZNF613	zinc finger protein 613	2.201	0.183
5518	PPP2R1A	protein phosphatase 2 scaffold subunit Aalpha	4.026	-0.451
147657	ZNF480	zinc finger protein 480	2.769	0.401
84436	ZNF528	zinc finger protein 528	2.788	-0.245
147658	ZNF534	zinc finger protein 534	1.342	-0.601
147660	ZNF578	zinc finger protein 578	2.019	-0.812
125893	ZNF816	zinc finger protein 816	2.057	0.199
4696	NDUFA3	NADH:ubiquinone oxidoreductase subunit A3	3.374	0.274
29844	TFPT	TCF3 fusion partner	2.327	0.216
147798	TMC4	transmembrane channel like 4	2.021	-0.486
79042	TSEN34	tRNA splicing endonuclease subunit 34	2.681	-0.404
6203	RPS9	ribosomal protein S9	3.72	-0.194
79168	LILRA6	leukocyte immunoglobulin like receptor A6	1.746	0.667
104355426	LENG8-AS1	LENG8 antisense RNA 1	1.676	-0.291
114823	LENG8	leukocyte receptor cluster member 8	3.852	-0.415
94059	LENG9	leukocyte receptor cluster member 9	2.419	-0.418
148170	CDC42EP5	CDC42 effector protein 5	1.999	-0.544
10859	LILRB1	leukocyte immunoglobulin like receptor B1	1.751	0.459
112724	RDH13	retinol dehydrogenase 13	2.92	-0.251
7138	TNNT1	troponin T1, slow skeletal type	3.519	-0.505
352909	DNAAF3	dynein axonemal assembly factor 3	2.871	-1.749
101930593	DNAAF3-AS1	DNAAF3 antisense RNA 1	2.242	-1.716
5794	PTPRH	protein tyrosine phosphatase receptor type H	1.945	-1.226
255043	TMEM86B	transmembrane protein 86B	1.674	-0.7
22870	PPP6R1	protein phosphatase 6 regulatory subunit 1	3.235	0.185
23640	HSPBP1	HSPA (Hsp70) binding protein 1	2.783	-0.273
84446	BRSK1	BR serine/threonine kinase 1	2.213	-1.292
84787	KMT5C	lysine methyltransferase 5C	2.133	-0.41
57106	NAT14	N-acetyltransferase 14 (putative)	1.967	-0.412
284297	SSC5D	scavenger receptor cysteine rich family member with 5 domains	2.716	-1.774
147807	ZNF524	zinc finger protein 524	2.323	0.235
107983998	LOC107983998	uncharacterized LOC107983998	2.143	-0.544
51157	ZNF580	zinc finger protein 580	2.627	-0.375
29924	EPN1	epsin 1	3.647	0.347
55311	ZNF444	zinc finger protein 444	2.75	-0.3
79149	ZSCAN5A	zinc finger and SCAN domain containing 5A	1.977	0.435
112268243	ZSCAN5A-AS1	ZSCAN5A antisense RNA 1	0.935	-0.954
100128252	ZNF667-AS1	ZNF667 antisense RNA 1 (head to head)	2.656	-0.177
101928982	ZFP28-DT	ZFP28 divergent transcript	1.102	-0.709
388566	ZNF470	zinc finger protein 470	2.358	-0.184
58491	ZNF71	zinc finger protein 71	2.274	0.192
23619	ZIM2	zinc finger imprinted 2	1.128	0.799
9422	ZNF264	zinc finger protein 264	2.737	-0.361
6795	AURKC	aurora kinase C	1.64	-0.46
390980	ZNF805	zinc finger protein 805	2.524	-0.417
105372476	ZNF460-AS1	ZNF460 antisense RNA 1	1.186	-0.409
10794	ZNF460	zinc finger protein 460	1.709	-0.475
57343	ZNF304	zinc finger protein 304	2.757	-0.183
147694	ZNF548	zinc finger protein 548	2.637	-0.26
256051	ZNF549	zinc finger protein 549	2.315	-0.283
90233	ZNF551	zinc finger protein 551	2.298	-0.211
2282	FKBP1AP1	FKBP prolyl isomerase 1A pseudogene 1	2.214	0.51
100874260	UBE2CP5	ubiquitin conjugating enzyme E2 C pseudogene 5	1.943	-0.231
730051	ZNF814	zinc finger protein 814	2.556	-0.36
65982	ZSCAN18	zinc finger and SCAN domain containing 18	3.319	-0.609
79673	ZNF329	zinc finger protein 329	2.539	0.171
10782	ZNF274	zinc finger protein 274	2.953	-0.204
105372482	ZNF8-DT	ZNF8 divergent transcript	2.066	0.282
7554	ZNF8	zinc finger protein 8	2.554	-0.192
108903150	ZNF8-ERVK3-1	ZNF8-ERVK3-1 readthrough	2.558	0.136
1	A1BG	alpha-1-B glycoprotein	1.325	-0.667
162968	ZNF497	zinc finger protein 497	1.344	-0.624
113218487	MIR10394	microRNA 10394	2.609	-0.298
7691	ZNF132	zinc finger protein 132	2.342	-0.201
388569	ZNF324B	zinc finger protein 324B	1.865	-0.348
84878	ZBTB45	zinc finger and BTB domain containing 45	2.341	-0.42
10155	TRIM28	tripartite motif containing 28	3.419	-0.201
100131691	MZF1-AS1	MZF1 antisense RNA 1	1.877	0.32
7593	MZF1	myeloid zinc finger 1	2.48	-0.416
65996	CENPBD2P	CENPB DNA-binding domains containing 2, pseudogene	2.731	0.19
85364	ZCCHC3	zinc finger CCHC-type containing 3	2.706	-0.177
6666	SOX12	SRY-box transcription factor 12	2.556	0.864
10616	RBCK1	RANBP2-type and C3HC4-type zinc finger containing 1	3.216	-0.144
1457	CSNK2A1	casein kinase 2 alpha 1	3.509	0.207
140809	SRXN1	sulfiredoxin 1	3.105	0.336
400831	C20orf202	chromosome 20 open reading frame 202	1.002	0.875
100507495	SDCBP2-AS1	SDCBP2 antisense RNA 1	2.124	0.392
107984088	LOC107984088	uncharacterized LOC107984088	1.051	-0.75
102724545	LOC102724545	uncharacterized LOC102724545	1.388	-1.143
100134015	UBOX5-AS1	UBOX5 antisense RNA 1	1.168	-0.689
22888	UBOX5	U-box domain containing 5	2.339	-0.449
60493	FASTKD5	FAST kinase domains 5	3.078	0.405
9762	LZTS3	leucine zipper tumor suppressor family member 3	2.838	0.603
65992	DDRGK1	DDRGK domain containing 1	2.82	0.375
8455	ATRN	attractin	3.374	0.162
1059	CENPB	centromere protein B	3.238	-0.204
57506	MAVS	mitochondrial antiviral signaling protein	3.691	0.302
80025	PANK2	pantothenate kinase 2	2.819	0.171
54498	SMOX	spermine oxidase	2.034	-0.367
5621	PRNP	prion protein	3.846	0.2
9962	SLC23A2	solute carrier family 23 member 2	2.819	-0.358
5111	PCNA	proliferating cell nuclear antigen	2.727	0.377
56261	GPCPD1	glycerophosphocholine phosphodiesterase 1	3.071	-0.833
1114	CHGB	chromogranin B	2.385	0.682
51605	TRMT6	tRNA methyltransferase 6 non-catalytic subunit	2.561	0.319
84515	MCM8	minichromosome maintenance 8 homologous recombination repair factor	2.605	0.482
54675	CRLS1	cardiolipin synthase 1	3.31	0.251
164312	LRRN4	leucine rich repeat neuronal 4	2.009	0.649
650	BMP2	bone morphogenetic protein 2	2.213	-0.979
56255	TMX4	thioredoxin related transmembrane protein 4	3.693	0.415
24141	LAMP5	lysosomal associated membrane protein family member 5	0.899	-2.029
8195	MKKS	MKKS centrosomal shuttling protein	3.186	0.498
55617	TASP1	taspase 1	2.247	-0.184
51575	ESF1	ESF1 nucleolar pre-rRNA processing protein homolog	2.694	0.221
79133	NDUFAF5	NADH:ubiquinone oxidoreductase complex assembly factor 5	2.949	0.198
140733	MACROD2	mono-ADP ribosylhydrolase 2	1.83	0.462
55614	KIF16B	kinesin family member 16B	2.802	0.298
6629	SNRPB2	small nuclear ribonucleoprotein polypeptide B2	2.871	0.255
5126	PCSK2	proprotein convertase subtilisin/kexin type 2	1.848	-1.098
11034	DSTN	destrin, actin depolymerizing factor	4.193	0.206
92667	MGME1	mitochondrial genome maintenance exonuclease 1	2.697	0.282
100303755	PET117	PET117 cytochrome c oxidase chaperone	2.246	0.362
57325	KAT14	lysine acetyltransferase 14	2.756	0.206
55184	DZANK1	double zinc ribbon and ankyrin repeat domains 1	1.675	-0.245
51126	NAA20	N-alpha-acetyltransferase 20, NatB catalytic subunit	3.087	0.177
57186	RALGAPA2	Ral GTPase activating protein catalytic subunit alpha 2	2.962	0.333
55857	KIZ	kizuna centrosomal protein	2.831	0.248
22803	XRN2	5'-3' exoribonuclease 2	3.193	0.322
7056	THBD	thrombomodulin	3.071	-0.616
63908	NAPB	NSF attachment protein beta	2.53	-0.201
79953	SYNDIG1	synapse differentiation inducing 1	2.923	-0.324
30813	VSX1	visual system homeobox 1	1.212	-0.734
955	ENTPD6	ectonucleoside triphosphate diphosphohydrolase 6	3.472	0.449
5834	PYGB	glycogen phosphorylase B	4.119	-0.362
22981	NINL	ninein like	2.505	0.64
26152	ZNF337	zinc finger protein 337	2.875	-0.205
107985400	LOC107985400	uncharacterized LOC107985400	1.716	-0.592
101926935	LOC101926935	uncharacterized LOC101926935	1.447	-0.521
81502	HM13	histocompatibility minor 13	2.97	0.176
3397	ID1	inhibitor of DNA binding 1	3.328	-0.423
84701	COX4I2	cytochrome c oxidase subunit 4I2	2.306	-0.296
22974	TPX2	TPX2 microtubule nucleation factor	1.583	1.436
128853	DUSP15	dual specificity phosphatase 15	1.847	-1.282
140706	CCM2L	CCM2 like scaffold protein	2.529	-0.352
3055	HCK	HCK proto-oncogene, Src family tyrosine kinase	2.098	0.522
107985403	LOC107985403		1.906	-0.324
128854	TSPY26P	testis specific protein Y-linked 26, pseudogene	1.314	-1.149
5326	PLAGL2	PLAG1 like zinc finger 2	2.776	-0.331
23509	POFUT1	protein O-fucosyltransferase 1	3.202	0.122
100302183	MIR1825	microRNA 1825	1.537	0.315
149951	COMMD7	COMM domain containing 7	3.026	0.186
1789	DNMT3B	DNA methyltransferase 3 beta	1.802	-0.361
388795	EFCAB8	EF-hand calcium binding domain 8	2.019	-0.567
63941	NECAB3	N-terminal EF-hand calcium binding protein 3	3.163	-0.449
11264	PXMP4	peroxisomal membrane protein 4	2.646	-0.21
128866	CHMP4B	charged multivesicular body protein 4B	3.565	0.283
101926888	RALY-AS1	RALY antisense RNA 1	0.841	-0.667
22913	RALY	RALY heterogeneous nuclear ribonucleoprotein	3.42	0.217
8894	EIF2S2	eukaryotic translation initiation factor 2 subunit beta	3.26	0.48
191	AHCY	adenosylhomocysteinase	3.34	0.436
83737	ITCH	itchy E3 ubiquitin protein ligase	3.213	0.229
83658	DYNLRB1	dynein light chain roadblock-type 1	3.383	0.186
23054	NCOA6	nuclear receptor coactivator 6	3.126	0.151
55902	ACSS2	acyl-CoA synthetase short chain family member 2	3.537	0.439
26133	TRPC4AP	transient receptor potential cation channel subfamily C member 4 associated protein	3.311	-0.182
10544	PROCR	protein C receptor	2.353	0.435
10893	MMP24	matrix metallopeptidase 24	2.15	-0.338
11190	CEP250	centrosomal protein 250	2.798	0.435
102725201	CEP250-AS1	CEP250 antisense RNA 1	1.202	0.316
8904	CPNE1	copine 1	3.089	-0.129
51282	SCAND1	SCAN domain containing 1	2.686	-0.513
25980	AAR2	AAR2 splicing factor	2.838	-0.185
22839	DLGAP4	DLG associated protein 4	3.312	-0.462
10398	MYL9	myosin light chain 9	4.557	0.195
60436	TGIF2	TGFB induced factor homeobox 2	2.426	-0.263
100527943	TGIF2-RAB5IF	TGIF2-RAB5IF readthrough	2.617	0.297
55969	RAB5IF	RAB5 interacting factor	2.672	0.244
57446	NDRG3	NDRG family member 3	3.178	0.21
5933	RBL1	RB transcriptional corepressor like 1	2.192	0.218
6185	RPN2	ribophorin II	3.543	0.42
56259	CTNNBL1	catenin beta like 1	2.982	0.328
85449	KIAA1755	KIAA1755	2.496	-1.185
388796	SNHG17	small nucleolar RNA host gene 17	2.059	-0.426
128439	SNHG11	small nucleolar RNA host gene 11	2.079	-0.253
57148	RALGAPB	Ral GTPase activating protein non-catalytic subunit beta	3.274	0.221
101927117	PLCG1-AS1	PLCG1 antisense RNA 1	1.942	0.219
5335	PLCG1	phospholipase C gamma 1	3.423	-0.143
23051	ZHX3	zinc fingers and homeoboxes 3	3.195	0.253
90187	EMILIN3	elastin microfibril interfacer 3	2.666	-0.841
11122	PTPRT	protein tyrosine phosphatase receptor type T	1.423	-1.283
6431	SRSF6	serine and arginine rich splicing factor 6	3.534	-0.271
10110	SGK2	serum/glucocorticoid regulated kinase 2	1.055	0.827
51098	IFT52	intraflagellar transport 52	2.311	-0.301
4605	MYBL2	MYB proto-oncogene like 2	0.977	1.101
140730	RIMS4	regulating synaptic membrane exocytosis 4	0.949	-2.148
80336	PABPC1L	poly(A) binding protein cytoplasmic 1 like	2.204	-0.471
10953	TOMM34	translocase of outer mitochondrial membrane 34	2.609	-0.273
6385	SDC4	syndecan 4	3.455	-0.443
767557	SYS1-DBNDD2	SYS1-DBNDD2 readthrough (NMD candidate)	3.476	0.295
55861	DBNDD2	dysbindin domain containing 2	3.494	0.288
107985405	LOC107985405	uncharacterized LOC107985405	2.257	-0.334
7125	TNNC2	troponin C2, fast skeletal type	0.94	-0.657
140831	ZSWIM3	zinc finger SWIM-type containing 3	1.881	-0.245
90204	ZSWIM1	zinc finger SWIM-type containing 1	2.48	-0.19
63935	PCIF1	phosphorylated CTD interacting factor 1	2.98	-0.326
64405	CDH22	cadherin 22	1.292	1.476
63916	ELMO2	engulfment and cell motility 2	3.045	0.222
102723442	LINC01754	long intergenic non-protein coding RNA 1754	1.274	-1.666
57169	ZNFX1	zinc finger NFX1-type containing 1	3.243	-0.11
101927486	LOC101927486	uncharacterized LOC101927486	0.923	-0.854
23315	SLC9A8	solute carrier family 9 member A8	2.794	-0.331
6615	SNAI1	snail family transcriptional repressor 1	1.839	-1.056
387522	PEDS1-UBE2V1	PEDS1-UBE2V1 readthrough	3.099	0.412
7335	UBE2V1	ubiquitin conjugating enzyme E2 V1	3.076	0.404
387521	PEDS1	plasmanylethanolamine desaturase 1	2.804	0.527
101927512	LINC01275	long intergenic non-protein coding RNA 1275	1.327	0.644
284751	LINC01270	long intergenic non-protein coding RNA 1270	1.399	-0.566
101927586	LINC01271	long intergenic non-protein coding RNA 1271	1.116	-0.781
5770	PTPN1	protein tyrosine phosphatase non-receptor type 1	3.294	-0.433
140876	RIPOR3	RIPOR family member 3	2.864	0.717
55653	BCAS4	breast carcinoma amplified sequence 4	1.592	-0.494
4773	NFATC2	nuclear factor of activated T cells 2	2.351	-0.418
5203	PFDN4	prefoldin subunit 4	2.455	0.382
55816	DOK5	docking protein 5	2.466	-1.004
116151	FAM210B	family with sequence similarity 210 member B	3.423	0.469
6790	AURKA	aurora kinase A	2.23	0.503
57091	CASS4	Cas scaffold protein family member 4	1.495	-0.486
655	BMP7	bone morphogenetic protein 7	2.194	2.142
55544	RBM38	RNA binding motif protein 38	3.213	0.355
5105	PCK1	phosphoenolpyruvate carboxykinase 1	1.452	2.188
81030	ZBP1	Z-DNA binding protein 1	1.085	-0.91
105416157	NKILA	NF-kappaB interacting lncRNA	1.792	-0.397
164284	APCDD1L	APC down-regulated 1 like	1.638	-2.094
100534593	STX16-NPEPL1	STX16-NPEPL1 readthrough (NMD candidate)	2.987	-0.171
8675	STX16	syntaxin 16	3.334	-0.422
79716	NPEPL1	aminopeptidase like 1	2.747	-0.315
2778	GNAS	GNAS complex locus	4.54	-0.118
1522	CTSZ	cathepsin Z	3.589	0.414
514	ATP5F1E	ATP synthase F1 subunit epsilon	3.513	0.283
100533975	SLMO2-ATP5E	SLMO2-ATP5E readthrough	3.529	0.288
128611	ZNF831	zinc finger protein 831	1.062	-1.032
116154	PHACTR3	phosphatase and actin regulator 3	2.091	1.533
10388	SYCP2	synaptonemal complex protein 2	2	0.455
60437	CDH26	cadherin 26	1.664	0.382
149986	LSM14B	LSM family member 14B	3.151	0.281
81928	CABLES2	Cdk5 and Abl enzyme substrate 2	2.618	0.264
140628	GATA5	GATA binding protein 5	1.605	1.28
253868	CRMA	cardiomyocyte maturation associated lncRNA	2.955	-0.642
128826	MIR1-1HG	MIR1-1 host gene	2.575	-0.596
55257	MRGBP	MRG domain binding protein	2.556	0.215
100132911	DPH3P1	diphthamide biosynthesis 3 pseudogene 1	1.647	-0.413
105372717	LOC105372717	uncharacterized LOC105372717	1.135	-0.736
63910	SLC17A9	solute carrier family 17 member 9	1.615	0.649
768096	HAR1A	highly accelerated region 1A	0.889	-1.987
55738	ARFGAP1	ADP ribosylation factor GTPase activating protein 1	3.049	-0.212
79144	PPDPF	pancreatic progenitor cell differentiation and proliferation factor	3.673	-1.061
5753	PTK6	protein tyrosine kinase 6	0.977	-0.604
85441	HELZ2	helicase with zinc finger 2	2.801	-0.734
50861	STMN3	stathmin 3	2.291	-0.763
8771	TNFRSF6B	TNF receptor superfamily member 6b	1.527	-0.464
84619	ZGPAT	zinc finger CCCH-type and G-patch domain containing	2.634	0.179
54923	LIME1	Lck interacting transmembrane adaptor 1	2.081	-0.364
140685	ZBTB46	zinc finger and BTB domain containing 46	2.81	-0.246
140701	ABHD16B	abhydrolase domain containing 16B	1.918	-0.492
57473	ZNF512B	zinc finger protein 512B	2.934	-0.225
140700	SAMD10	sterile alpha motif domain containing 10	2.015	0.3
6919	TCEA2	transcription elongation factor A2	2.737	-0.661
54345	SOX18	SRY-box transcription factor 18	2.9	-0.785
102723996	LOC102723996	ICOS ligand	2.081	-0.684
105379487	LINC01670	long intergenic non-protein coding RNA 1670	0.967	-1.039
102724219	LOC102724219	uncharacterized LOC102724219	2.052	-0.57
102724334	LOC102724334	histone H2B type F-S-like	1.246	0.436
102724428	LOC102724428	salt inducible kinase 1B (putative)	2.899	-1.218
102724701	LOC102724701	uncharacterized LOC102724701	2.152	-0.677
102724843	LOC102724843	uncharacterized LOC102724843	2.209	-0.7
105379493	CH507-145C22.1	uncharacterized CH507-145C22.1	1.225	-1.259
102724560	LOC102724560	cystathionine beta-synthase like	2.283	0.94
105379499	LOC105379499	uncharacterized LOC105379499	1.282	-1.237
102723360	LOC102723360	uncharacterized LOC102723360	2.059	-0.588
102723553	LOC102723553	small integral membrane protein 11B	2.43	0.182
109864282	RNA28SN2	RNA, 28S ribosomal N2	3.599	-0.7
105379506	LOC105379506		0.937	-0.815
102723570	CDC27P9	cell division cycle 27 pseudogene 9	0.953	-1.069
109910382	RNA28SN3	RNA, 28S ribosomal N3	3.571	-0.702
105379508	LOC105379508		0.941	-0.896
102723584	CDC27P10	cell division cycle 27 pseudogene 10	0.944	-1.066
106632264	RNA28SN1	RNA, 28S ribosomal N1	3.605	-0.691
105379507	LOC105379507	uncharacterized LOC105379507	0.945	-0.89
102723603	CDC27P11	cell division cycle 27 pseudogene 11	1.073	-1.138
101930100	LOC101930100	uncharacterized LOC101930100	1.212	-0.452
85319	BAGE2	BAGE family member 2, pseudogene	0.87	0.736
107987295	LINC02246	long intergenic non-protein coding RNA 2246	1.659	0.321
29761	USP25	ubiquitin specific peptidase 25	3.289	0.39
54149	C21orf91	chromosome 21 open reading frame 91	2.581	-0.592
140578	CHODL	chondrolectin	1.025	-0.812
54148	MRPL39	mitochondrial ribosomal protein L39	3.032	0.277
522	ATP5PF	ATP synthase peripheral stalk subunit F6	4.048	0.465
351	APP	amyloid beta precursor protein	4.276	-0.172
107985474	LOC107985474	uncharacterized LOC107985474	0.955	0.707
116159	CYYR1	cysteine and tyrosine rich 1	3.027	0.41
9510	ADAMTS1	ADAM metallopeptidase with thrombospondin type 1 motif 1	3.472	-0.513
10069	RWDD2B	RWD domain containing 2B	2.699	0.344
10600	USP16	ubiquitin specific peptidase 16	3.195	0.184
10694	CCT8	chaperonin containing TCP1 subunit 8	3.54	0.207
56911	MAP3K7CL	MAP3K7 C-terminal like	2.418	-2.021
193629	LINC00189	long intergenic non-protein coding RNA 189	1.434	-0.962
7074	TIAM1	TIAM Rac1 associated GEF 1	1.842	-0.57
6647	SOD1	superoxide dismutase 1	3.814	0.248
84996	URB1-AS1	URB1 antisense RNA 1 (head to head)	2.17	0.353
110091775	CFAP298-TCP10L	CFAP298-TCP10L readthrough	2.354	0.166
3454	IFNAR1	interferon alpha and beta receptor subunit 1	3.096	0.212
757	TMEM50B	transmembrane protein 50B	3.191	-0.275
54943	DNAJC28	DnaJ heat shock protein family (Hsp40) member C28	2.134	0.801
2618	GART	phosphoribosylglycinamide formyltransferase, phosphoribosylglycinamide synthetase, phosphoribosylaminoimidazole synthetase	3.097	0.213
107985481	LOC107985481		2.311	0.271
6453	ITSN1	intersectin 1	3.227	0.448
539	ATP5PO	ATP synthase peripheral stalk subunit OSCP	4.125	0.252
101928126	LOC101928126	uncharacterized LOC101928126	1.606	1.042
64968	MRPS6	mitochondrial ribosomal protein S6	2.791	0.508
114036	LINC00310	long intergenic non-protein coding RNA 310	0.981	0.764
54065	SMIM11	small integral membrane protein 11	2.268	0.353
1827	RCAN1	regulator of calcineurin 1	3.485	-0.758
54093	SETD4	SET domain containing 4	2.603	-0.185
100133286	CBR1-AS1	CBR1 antisense RNA 1	1.686	0.428
873	CBR1	carbonyl reductase 1	2.629	0.578
100506428	CBR3-AS1	CBR3 antisense RNA 1	2.095	-0.291
9980	DOP1B	DOP1 leucine zipper like protein B	2.733	0.573
23515	MORC3	MORC family CW-type zinc finger 3	2.937	0.256
3141	HLCS	holocarboxylase synthetase	2.505	0.494
10311	VPS26C	VPS26 endosomal protein sorting factor C	3.213	0.218
2078	ERG	ETS transcription factor ERG	2.84	0.257
102724740	LINC02940	long intergenic non-protein coding RNA 2940	1.292	0.795
8624	PSMG1	proteasome assembly chaperone 1	2.518	0.198
103091865	BRWD1-AS2	BRWD1 antisense RNA 2	1.043	-0.487
3150	HMGN1	high mobility group nucleosome binding domain 1	3.175	-0.561
7485	GET1	guided entry of tail-anchored proteins factor 1	2.571	-0.395
150082	LCA5L	lebercilin LCA5 like	1.366	-0.487
10317	B3GALT5	beta-1,3-galactosyltransferase 5	1.239	-2.134
5121	PCP4	Purkinje cell protein 4	1.706	0.642
49854	ZBTB21	zinc finger and BTB domain containing 21	2.449	-0.446
7033	TFF3	trefoil factor 3	1.462	-0.927
101928284	PDE9A-AS1	PDE9A antisense RNA 1	1.239	-1.073
4731	NDUFV3	NADH:ubiquinone oxidoreductase subunit V3	3.424	0.461
5316	PKNOX1	PBX/knotted 1 homeobox 1	2.542	-0.376
875	CBS	cystathionine beta-synthase	2.296	0.974
101928399	LINC01679	long intergenic non-protein coding RNA 1679	1.537	-0.578
150094	SIK1	salt inducible kinase 1	2.846	-1.293
54145	H2BC12L	H2B clustered histone 12 like	1.246	0.446
105372824	LOC105372824	uncharacterized LOC105372824	1.169	-0.923
1476	CSTB	cystatin B	3.226	0.457
56894	AGPAT3	1-acylglycerol-3-phosphate O-acyltransferase 3	3.522	0.353
7109	TRAPPC10	trafficking protein particle complex subunit 10	2.969	0.217
23308	ICOSLG	inducible T cell costimulator ligand	2.217	-0.626
5211	PFKL	phosphofructokinase, liver type	3.235	-0.376
755	CFAP410	cilia and flagella associated protein 410	2.603	-0.503
54082	TSPEAR-AS1	TSPEAR antisense RNA 1	1.509	1.337
114043	TSPEAR-AS2	TSPEAR antisense RNA 2	1.223	1.677
6612	SUMO3	small ubiquitin like modifier 3	3.295	0.228
754	PTTG1IP	PTTG1 interacting protein	3.76	0.25
84536	LINC01547	long intergenic non-protein coding RNA 1547	1.55	-0.805
85395	SLX9	SLX9 ribosome biogenesis factor	2.64	0.227
80781	COL18A1	collagen type XVIII alpha 1 chain	3.632	-0.567
1292	COL6A2	collagen type VI alpha 2 chain	4.039	-0.498
4047	LSS	lanosterol synthase	3.312	0.259
114044	MCM3AP-AS1	MCM3AP antisense RNA 1	2.399	0.203
8888	MCM3AP	minichromosome maintenance complex component 3 associated protein	3.294	0.208
23181	DIP2A	disco interacting protein 2 homolog A	3.145	-0.215
3275	PRMT2	protein arginine methyltransferase 2	3.319	-0.211
102723780	FRG1FP	FSHD region gene 1 family member F, pseudogene	1.757	0.351
503637	DUXAP8	double homeobox A pseudogene 8	1.172	-1.009
100130418	CECR7	cat eye syndrome chromosome region, candidate 7	1.57	0.625
23786	BCL2L13	BCL2 like 13	3.543	0.383
637	BID	BH3 interacting domain death agonist	2.669	0.281
51807	TUBA8	tubulin alpha 8	3.488	0.462
728229	TMEM191B	transmembrane protein 191B	1.059	-1.115
728233	PI4KAP1	phosphatidylinositol 4-kinase alpha pseudogene 1	2.567	-0.304
5625	PRODH	proline dehydrogenase 1	2.572	1.378
9993	DGCR2	DiGeorge syndrome critical region gene 2	3.309	-0.193
8220	ESS2	ess-2 splicing factor homolog	2.535	-0.144
8218	CLTCL1	clathrin heavy chain like 1	2.763	-0.398
112268289	LOC112268289	uncharacterized LOC112268289	1.476	-0.58
128977	C22orf39	chromosome 22 open reading frame 39	3.121	-0.265
7353	UFD1	ubiquitin recognition factor in ER associated degradation 1	2.897	0.297
7122	CLDN5	claudin 5	2.852	-1.227
421	ARVCF	ARVCF delta catenin family member	3.016	-0.393
5902	RANBP1	RAN binding protein 1	2.734	0.181
65078	RTN4R	reticulon 4 receptor	1.43	-0.942
91179	SCARF2	scavenger receptor class F member 2	2.304	-1.14
51586	MED15	mediator complex subunit 15	3.106	-0.275
5297	PI4KA	phosphatidylinositol 4-kinase alpha	3.274	0.171
9127	P2RX6	purinergic receptor P2X 6	2.077	-0.82
29797	POM121L8P	POM121 transmembrane nucleoporin like 8, pseudogene	1.118	0.721
23119	HIC2	HIC ZBTB transcriptional repressor 2	2.149	-0.54
